Movie,MyRating,LBRating,Difference,ReviewDate,MovieLength,LengthInHour,Languages,Director,ReleaseYear,Genre,Country,NumberOfReviews,NumberOfRatings
Drive,5.0,3.97,1.03,,100,1:40,English,Nicolas Winding Refn,2011,"Thriller,Drama,Crime",USA,46464,471759
Scott Pilgrim vs. the World,4.0,3.87,0.13,07/21/2020,112,1:52,English,Edgar Wright,2010,"Romance,Comedy,Action,Fantasy",UK,74825,602811
GoodFellas,5.0,4.42,0.58,08/29/2021,145,2:25,"English,Italian",Martin Scorsese,1990,"Drama,Crime",USA,40031,435177
Inception,4.0,4.17,-0.17,,148,2:28,"English,Japanese,Swahili",Christopher Nolan,2010,"Science Fiction,Action,Adventure",UK,56402,907912
The Social Network,5.0,3.95,1.05,06/20/2020,121,2:01,English,David Fincher,2010,Drama,USA,80168,664272
Me and Earl and the Dying Girl,4.5,3.78,0.72,,105,1:45,English,Alfonso Gomez-Rejon,2015,"Comedy,Drama",USA,13564,116784
The Prestige,4.0,4.13,-0.13,,130,2:10,English,Christopher Nolan,2006,"Drama,Mystery,Science Fiction",UK,28867,389166
The Hateful Eight,4.0,3.84,0.16,,188,3:08,"English,Spanish",Quentin Tarantino,2015,"Drama,Mystery,Western",USA,29024,403098
Good Will Hunting,4.0,4.18,-0.18,,127,2:07,English,Gus Van Sant,1997,Drama,USA,23834,397353
Inglourious Basterds,4.5,4.28,0.22,,153,2:33,"English,German,French,Italian",Quentin Tarantino,2009,"Thriller,Drama,Action,War",Germany,47646,742320
Boogie Nights,5.0,4.17,0.83,12/03/2021,156,2:36,English,Paul Thomas Anderson,1997,Drama,USA,29959,192564
Star Wars: The Last Jedi,3.0,3.19,-0.19,12/22/2019,152,2:32,English,Rian Johnson,2017,"Science Fiction,Adventure,Action",USA,62062,535797
Mad Max: Fury Road,4.0,4.15,-0.15,,121,2:01,English,George Miller,2015,"Adventure,Science Fiction,Action",Australia,52141,630991
The Big Lebowski,4.0,4.12,-0.12,,117,1:57,"English,Hebrew (modern),Spanish,German",Joel Coen,1998,"Comedy,Crime",UK,35396,389808
The Departed,3.5,4.19,-0.69,,151,2:31,"English,Cantonese",Martin Scorsese,2006,"Thriller,Drama,Crime",USA,29011,375003
Into the Wild,4.0,3.76,0.24,,148,2:28,"English,Danish",Sean Penn,2007,"Adventure,Drama",USA,11348,188218
Spirited Away,4.0,4.47,-0.47,,125,2:05,Japanese,Hayao Miyazaki,2001,"Fantasy,Animation,Family",Japan,55253,640810
Raging Bull,4.0,4.19,-0.19,,129,2:09,English,Martin Scorsese,1980,"History,Drama",USA,15192,151808
Apocalypse Now,5.0,4.36,0.64,03/28/2020,147,2:27,"English,Khmer,French,Vietnamese",Francis Ford Coppola,1979,"War,Drama",USA,26288,260872
The Lord of the Rings: The Return of the King,4.5,4.4,0.10,,201,3:21,English,Peter Jackson,2003,"Fantasy,Adventure,Action",New Zealand,31411,466351
Her,5.0,4.05,0.95,,126,2:06,English,Spike Jonze,2013,"Romance,Science Fiction,Drama",USA,53551,601914
