Movie,MyRating,LBRating,Difference,ReviewDate,MovieLength,LengthInHour,Languages,Director,ReleaseYear,Genre,Country,NumberOfReviews,NumberOfRatings
The Godfather,5.0,4.54,0.46,06/08/2020,175,2:55,"English,Italian,Latin",Francis Ford Coppola,1972,"Crime,Drama",USA,41773,515016
The Godfather: Part II,5.0,4.53,0.47,12/14/2019,202,3:22,"English,Italian,Latin,Spanish",Francis Ford Coppola,1974,"Drama,Crime",USA,20722,297520
Before Sunset,5.0,4.3,0.70,01/09/2020,80,1:20,"English,French",Richard Linklater,2004,"Romance,Drama",USA,31754,183398
Before Midnight,4.5,4.08,0.42,03/27/2020,109,1:49,"English,Greek (modern),French",Richard Linklater,2013,"Romance,Drama",Greece,24132,143901
Before Sunrise,5.0,4.32,0.68,,101,1:41,"English,German,French",Richard Linklater,1995,"Romance,Drama",Austria,49313,252142
The Big Short,4.5,3.76,0.74,,131,2:11,English,Adam McKay,2015,"Comedy,Drama",USA,26371,289665
The End of the Tour,4.0,3.67,0.33,,106,1:46,English,James Ponsoldt,2015,Drama,USA,4768,31509
Fight Club,4.0,4.26,-0.26,,139,2:19,English,David Fincher,1999,Drama,Germany,63520,824790
The Nice Guys,4.5,3.77,0.73,,116,1:56,English,Shane Black,2016,"Action,Crime,Comedy",UK,36797,301621
About Time,4.5,3.9,0.60,,123,2:03,English,Richard Curtis,2013,"Fantasy,Romance,Drama",UK,30084,231571
Citizenfour,4.0,3.87,0.13,08/22/2021,114,1:54,"English,German,Portuguese",Laura Poitras,2014,Documentary,Germany,3267,30525
The Revenant,4.0,3.82,0.18,,157,2:37,"English,French",Alejandro González Iñárritu,2015,"Drama,Western,Adventure",Canada,22641,438795
Dope,4.0,3.51,0.49,,103,1:43,English,Rick Famuyiwa,2015,"Crime,Drama,Comedy",USA,5214,68067
Training Day,4.0,3.81,0.19,,122,2:02,"English,Russian,Spanish,Korean",Antoine Fuqua,2001,"Thriller,Crime,Action,Drama",Australia,10354,120106
