Movie,MyRating,LBRating,Difference,ReviewDate,MovieLength,LengthInHour,Languages,Director,ReleaseYear,Genre,Country,NumberOfReviews,NumberOfRatings
Before Sunset,5.0,4.3,0.70,01/09/2020,80,1:20,"English,French",Richard Linklater,2004,"Romance,Drama",USA,31753,183395
High and Low,5.0,4.46,0.54,04/14/2020,142,2:22,Japanese,Akira Kurosawa,1963,"Crime,Mystery,Drama,Thriller",Japan,7896,39447
"Synecdoche, New York",4.5,4.12,0.38,07/24/2020,124,2:04,"English,German",Charlie Kaufman,2008,Drama,USA,22339,107230
His Girl Friday,5.0,3.99,1.01,05/21/2020,92,1:32,English,Howard Hawks,1940,"Comedy,Drama,Romance",USA,8116,41709
Adaptation.,4.5,4.03,0.47,06/25/2020,115,1:55,"English,Latin",Spike Jonze,2002,"Crime,Drama,Comedy",USA,15835,119072
Being John Malkovich,4.5,4,0.50,06/24/2020,113,1:53,"English,French",Spike Jonze,1999,"Drama,Fantasy,Comedy",USA,22276,184515
Portrait of a Lady on Fire,4.5,4.43,0.07,02/22/2020,120,2:00,"French,Italian",Céline Sciamma,2019,"Drama,History,Romance",France,80452,320459
Y Tu Mamá También,4.5,4.1,0.40,05/08/2020,106,1:46,Spanish,Alfonso Cuarón,2001,"Drama,Romance",Mexico,14505,89968
Seven Samurai,5.0,4.52,0.48,04/04/2020,207,3:27,Japanese,Akira Kurosawa,1954,"Action,Drama",Japan,15693,124912
Rope,4.5,4.05,0.45,02/12/2020,81,1:21,English,Alfred Hitchcock,1948,"Drama,Crime,Thriller",USA,14843,95432
Boys State,4.5,3.95,0.55,08/24/2020,109,1:49,English,Jesse Moss,2020,Documentary,USA,9266,24767
Casablanca,4.5,4.24,0.26,05/31/2020,102,1:42,"English,German,French,Italian",Michael Curtiz,1942,"Romance,Drama",USA,23414,204104
The Lighthouse,4.5,4.05,0.45,01/05/2020,109,1:49,English,Robert Eggers,2019,"Thriller,Fantasy,Drama,Horror",Canada,98857,461692
Blue Valentine,4.5,3.76,0.74,02/15/2020,112,1:52,English,Derek Cianfrance,2010,"Drama,Romance",USA,15705,124124
Cameraperson,4.5,4.1,0.40,05/17/2020,102,1:42,"English,Bosnian,Arabic,Persian (Farsi),Hausa",Kirsten Johnson,2016,Documentary,USA,2517,9741
The Place Beyond the Pines,4.5,3.73,0.77,01/14/2020,140,2:20,"English,Spanish",Derek Cianfrance,2012,"Drama,Crime",USA,12886,127283
