Movie,MyRating,LBRating,Difference,ReviewDate,MovieLength,LengthInHour,Languages,Director,ReleaseYear,Genre,Country,NumberOfReviews,NumberOfRatings
Call Me by Your Name,4.5,3.98,0.52,,132,2:12,"English,French,Italian",Luca Guadagnino,2017,"Drama,Romance",Brazil,74955,560135
Wind River,4.0,3.78,0.22,,107,1:47,English,Taylor Sheridan,2017,"Drama,Crime,Thriller,Mystery",USA,15523,130342
Silver Linings Playbook,4.0,3.62,0.38,,122,2:02,English,David O. Russell,2012,"Drama,Comedy,Romance",USA,20009,315478
Minding the Gap,4.5,4.25,0.25,11/16/2019,93,1:33,English,Bing Liu,2018,Documentary,USA,7637,30512
Dazed and Confused,4.0,3.93,0.07,03/06/2020,102,1:42,English,Richard Linklater,1993,"Drama,Comedy",USA,23991,155246
Avengers: Infinity War,4.0,3.98,0.02,,149,2:29,"English,Xhosa",Anthony Russo,2018,"Adventure,Action,Science Fiction",USA,72574,795716
Rounders,3.5,3.47,0.03,,121,2:01,"English,Russian,Hebrew (modern)",John Dahl,1998,"Crime,Drama",USA,3404,33024
Tinker Tailor Soldier Spy,4.0,3.56,0.44,,127,2:07,"English,French,Russian,Hungarian",Tomas Alfredson,2011,"Mystery,Thriller,Drama",France,6826,69022
mid90s,4.0,3.72,0.28,,86,1:26,English,Jonah Hill,2018,"Drama,Comedy",USA,33445,202377
12 Angry Men,4.0,4.52,-0.52,,97,1:37,English,Sidney Lumet,1957,Drama,USA,27148,260274
Step Brothers,4.0,3.44,0.56,08/13/2021,98,1:38,"English,Spanish",Adam McKay,2008,Comedy,USA,12375,142637
Raiders of the Lost Ark,3.5,4.17,-0.67,,115,1:55,"English,Spanish,German,Hebrew (modern),Arabic,Nepali",Steven Spielberg,1981,"Adventure,Action",USA,23947,342434
"Don't Worry, He Won't Get Far on Foot",3.5,3.38,0.12,,113,1:53,English,Gus Van Sant,2018,"Drama,Comedy",USA,4683,27895
A Ghost Story,4.0,3.75,0.25,,93,1:33,English,David Lowery,2017,"Drama,Fantasy",USA,30550,156966
Black Panther,3.5,3.73,-0.23,,134,2:14,"English,Korean,Swahili,Xhosa",Ryan Coogler,2018,"Action,Adventure,Science Fiction",USA,56845,773132
Mission: Impossible,3.5,3.53,-0.03,,110,1:50,"English,French,Czech",Brian De Palma,1996,"Adventure,Thriller,Action",USA,13838,158737
Annihilation,3.5,3.59,-0.09,,115,1:55,English,Alex Garland,2018,"Science Fiction,Horror",UK,45602,343814
Spider-Man: Into the Spider-Verse,4.0,4.44,-0.44,,117,1:57,"English,Spanish",Rodney Rothman,2018,"Action,Adventure,Animation,Science Fiction",USA,108712,858018
First Reformed,3.5,3.98,-0.48,,113,1:53,English,Paul Schrader,2017,Drama,USA,30916,136388
The Florida Project,3.5,4.11,-0.61,,112,1:52,"English,Portuguese,Spanish",Sean Baker,2017,Drama,USA,47481,286815
Phantom Thread,4.5,4.06,0.44,12/02/2021,130,2:10,"English,French",Paul Thomas Anderson,2017,"Drama,Romance",USA,48486,224662
Your Name.,3.5,4.19,-0.69,,106,1:46,Japanese,Makoto Shinkai,2016,"Drama,Animation,Romance",Japan,33379,283089
Eighth Grade,3.5,3.86,-0.36,,94,1:34,English,Bo Burnham,2018,"Drama,Comedy",USA,45248,233579
"Oh, Hello on Broadway",4.5,3.97,0.53,01/08/2020,102,1:42,English,Michael John Warren,2017,Comedy,USA,3457,11915
Miami Vice,3.0,3.24,-0.24,,132,2:12,"English,Spanish",Michael Mann,2006,"Action,Thriller,Crime",Uruguay,8951,40693
Thoroughbreds,3.5,3.56,-0.06,,92,1:32,English,Cory Finley,2017,"Drama,Thriller",USA,20781,91128
Unforgiven,3.5,4.09,-0.59,,130,2:10,English,Clint Eastwood,1992,Western,USA,9405,98681
Sorry to Bother You,3.0,3.75,-0.75,,112,1:52,English,Boots Riley,2018,"Comedy,Fantasy,Science Fiction",USA,43197,218017
